date,open,high,low,close,volume,change_percent,avg_vol_20d,daily_middle,dayNumber,year,is_quarter_end,Moving5DayClose,Moving10DayClose,Moving20DayClose,all_time_high,yearly_max_to_date,yearly_min_to_date,yearly_avg_to_date,monthly_max_to_date,monthly_min_to_date,monthly_avg_to_date,cumulativechange,run,DecreasingMA5-10,DecreasingMA5-20,DecreasingMA10-20,day_Tuesday,day_Wednesday,day_Thursday,day_Friday,month_February,month_March,month_April,month_May,month_June,month_July,month_August,month_September,month_October,month_November,month_December,target
1986-01-07,130.355,132.875,130.33,132.79,255000000,1.87,208675000.0,131.60250000000002,7,1986,0,131.44899999999998,131.17749999999998,130.88875000000002,133.185,132.875,129.845,131.06437499999998,132.875,129.845,131.06437499999998,2.4350000000000023,1.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-08,132.79,133.885,131.15,131.16,280000000,-1.23,212195000.0,132.51749999999998,8,1986,0,131.22199999999998,131.221,131.0725,133.885,133.885,129.845,131.35499999999996,133.885,129.845,131.35499999999996,-1.6299999999999955,1.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-09,131.005,131.16,128.055,128.8,238800000,-1.8,212955000.0,129.60750000000002,9,1986,0,130.731,131.098,131.11375,133.885,133.885,128.055,131.06375,133.885,128.055,131.06375,-3.8349999999999795,2.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0
1986-01-10,128.8,129.97,128.79,129.565,197000000,0.59,210155000.0,129.38,10,1986,0,130.53400000000002,131.02,131.133,133.885,133.885,128.055,130.82321428571427,133.885,128.055,130.82321428571427,0.7649999999999864,1.0,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-13,129.565,129.595,128.63,129.095,178980000,-0.36,207374000.0,129.1125,13,1986,0,130.28199999999998,130.781,131.09949999999998,133.885,133.885,128.055,130.609375,133.885,128.055,130.609375,-0.46999999999999886,1.0,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
1986-01-14,129.095,129.96,128.995,129.18,205800000,0.07,204494000.0,129.47750000000002,14,1986,0,129.56,130.5045,130.95225,133.885,133.885,128.055,130.48361111111112,133.885,128.055,130.48361111111112,0.08500000000000796,1.0,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
1986-01-15,129.18,131.655,129.005,131.535,237400000,1.82,204834000.0,130.32999999999998,15,1986,0,129.63500000000002,130.42849999999999,130.8985,133.885,133.885,128.055,130.46824999999998,133.885,128.055,130.46824999999998,2.4399999999999977,2.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
1986-01-16,131.535,133.125,131.535,133.06,247800000,1.16,205124000.0,132.32999999999998,16,1986,0,130.487,130.609,130.97475,133.885,133.885,128.055,130.6375,133.885,128.055,130.6375,3.9650000000000034,3.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-17,133.06,133.6,132.605,132.77,225600000,-0.22,202614000.0,133.1025,17,1986,0,131.128,130.83100000000002,131.05625,133.885,133.885,128.055,130.84291666666664,133.885,128.055,130.84291666666664,-0.28999999999999204,1.0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-20,132.77,132.79,131.145,131.605,178860000,-0.88,200067000.0,131.9675,20,1986,0,131.63000000000002,130.956,131.04025,133.885,133.885,128.055,130.92942307692306,133.885,128.055,130.92942307692306,-1.4550000000000125,2.0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-21,131.605,132.015,130.595,131.09,221400000,-0.39,199557000.0,131.305,21,1986,0,132.012,130.786,130.98175,133.885,133.885,128.055,130.95624999999998,133.885,128.055,130.95624999999998,-1.9699999999999989,3.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-22,131.09,131.78,129.47,129.615,215200000,-1.13,200376000.0,130.625,22,1986,0,131.628,130.63150000000002,130.92625,133.885,133.885,128.055,130.93416666666664,133.885,128.055,130.93416666666664,-3.444999999999993,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-23,129.615,129.615,128.46,129.27,222200000,-0.27,205058000.0,129.03750000000002,23,1986,0,130.86999999999998,130.6785,130.88825,133.885,133.885,128.055,130.815625,133.885,128.055,130.815625,-3.789999999999992,5.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0
1986-01-24,129.27,130.54,129.27,130.2,236600000,0.72,211498000.0,129.905,24,1986,0,130.356,130.74200000000002,130.88100000000003,133.885,133.885,128.055,130.76205882352943,133.885,128.055,130.76205882352943,0.9299999999999784,1.0,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0
